TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;5,81;;-13,02;0,85;0,32;27,98;10,49;-5,65;7,01;11,18;4,17;0,51;0,74;-72,46;-0,43;0,98;-6,53;-2,46;6,81;0,38;0,61;0,43;2,55;;458.454,53;7,06;-0,46;0,18;914.156.892,00
ABCB4;21,72;7,57;7,29;0,83;0,08;17,76;12,53;10,94;6,36;6,36;;;0,80;1,63;-0,08;2,58;11,43;1,05;;0,09;0,91;0,10;20,08;11,85;11.933.500,32;26,07;2,98;-0,31;5.313.946.934,04
ABEV3;14,32;6,46;15,62;2,38;1,53;51,46;24,69;15,74;9,96;9,20;-0,76;-0,18;2,46;53,57;-2,17;1,11;15,27;9,80;17,85;0,64;0,35;0,62;11,20;4,14;442.003.274,79;6,00;0,92;-31,58;225.391.434.210,80
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20
AERI3;4,57;;-0,29;2,57;0,14;10,79;-63,54;-81,51;-0,37;-2,33;-1,96;13,58;0,24;-32,45;-0,22;0,99;-889,48;-46,89;-46,90;0,05;0,95;0,58;12,70;;2.113.357,68;1,79;-15,89;0,00;285.752.901,60
AESB3;8,12;;-16,19;1,17;0,37;26,76;21,13;-10,72;8,21;18,23;10,02;1,42;1,74;-6,64;-0,42;0,67;-7,21;-2,28;4,73;0,32;0,63;0,21;;;5.131.685,25;6,96;-0,50;0,01;6.973.842.690,64
AFLT3;7,53;7,16;21,03;1,92;1,51;58,08;53,92;41,22;16,07;15,36;-0,72;-0,09;8,67;16,63;-2,01;1,59;9,13;7,19;8,69;0,79;0,21;0,17;14,85;-0,02;1.170,50;3,92;0,36;-1,16;475.027.791,00
AGRO3;21,65;7,19;7,18;1,02;0,56;39,38;29,46;22,84;5,57;8,72;3,15;0,58;1,64;4,81;-0,82;1,58;14,27;7,79;10,23;0,55;0,45;0,34;13,78;11,82;4.265.211,37;21,13;3,02;0,23;2.223.096.562,60
AGXY3;5,91;;-0,03;-0,06;0,03;-1,34;-42,80;-64,96;-0,05;-0,59;-0,54;;0,02;-0,03;-0,06;0,35;-171,64;-82,34;1.057,12;-0,48;1,48;1,27;24,29;;281.114,26;-102,87;-176,56;0,00;100.968.947,45
AHEB3;45,00;;2,69;2,40;0,75;28,07;22,41;20,02;2,40;1,98;-0,43;-0,43;0,54;1,90;-1,87;2,89;89,31;27,74;92,71;0,31;0,69;1,39;50,82;;321,43;18,75;16,75;0,06;385.835.400,00
