TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
ABCP11;86,94;1,150000;9,08;107,50;0,81;77.339,14;2,02;7,85;21,46;506.249.123,04;14.885,00;Passiva;4.709.082,00
AFHI11;92,00;1,010000;12,54;94,72;0,97;1.013.812,68;3,01;-4,31;11,27;431.495.256,55;40.755,00;Ativa;4.555.618,00
AIEC11;45,04;0,320000;14,25;77,66;0,58;251.476,32;6,43;-10,68;-2,76;374.698.865,84;16.802,00;Ativa;4.824.987,00
AJFI11;7,31;0,060000;11,17;12,16;0,60;310.170,68;0,85;;;384.542.682,67;13.139,00;Ativa;31.625.978,00
ALMI11;575,00;5,256487;6,95;2.107,42;0,27;21.798,69;4,33;;-11,56;234.296.086,84;1.982,00;Passiva;111.177,00
ALZC11;8,43;0,115000;16,24;9,44;0,89;282.700,73;3,80;;;189.222.241,40;8.539,00;Ativa;20.050.230,00
ALZM11;6,32;0,080000;9,34;7,46;0,85;0,00;3,80;-6,90;-58,80;113.203.496,22;12.195,00;Ativa;15.180.540,00
ALZR11;10,24;0,081550;9,17;10,46;0,98;1.294.231,00;5,05;-13,22;7,47;1.278.573.419,98;160.400,00;Ativa;122.266.250,00
ANCR11B;3.221,00;2,019821;0,22;109,96;29,29;;1,53;;;2.939.825.816,64;192,00;Ativa;26.735.046,00
APTO11;8,48;0,096000;12,81;9,79;0,87;40.529,09;14,14;-4,68;7,48;45.172.206,20;8.553,00;Ativa;4.612.227,00
APXM11;95,00;0,335623;5,08;123,36;0,77;674.102,91;0,85;;;349.004.015,68;617,00;;2.829.142,00
APXR11;97,99;;0,00;78,69;1,25;17.143,71;0,04;;;8.621.982,41;148,00;;109.567,00
APXU11;0,00;;0,00;86,92;;;28,76;;;8.826.261,82;40,00;Ativa;101.542,00
AQLL11;385,03;;0,00;923,11;0,42;;0,00;;;134.606.147,54;83,00;Ativa;145.817,00
ARFI11B;479,99;;0,00;63,81;7,52;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
AROA11;1,01;0,006400;7,41;0,95;1,06;9.598,91;1,24;;;160.064.820,46;4.367,00;Ativa;167.926.832,00
ARRI11;7,05;0,090000;15,60;8,51;0,83;198.204,00;1,26;-7,53;4,49;176.432.592,45;24.099,00;Ativa;20.726.973,00
ARTE11;0,00;0,106823;0,00;10,11;;;2,23;;;85.904.891,01;745,00;Ativa;8.496.949,00
ARXD11;7,59;0,095000;15,59;9,18;0,83;64.600,50;1,77;;;82.725.325,77;1.688,00;Ativa;9.011.170,00
ASMT11;4,10;0,077000;0,00;98,40;0,04;4.909,82;6,50;;-21,48;106.393.633,31;412,00;Ativa;1.081.257,00
ASRF11;10.888,00;256,328699;0,00;9.721,57;1,12;0,00;27,68;;;38.886.260,92;68,00;Ativa;4.000,00
